date,syn_distance_diff,upwater,cloud,rain,deep,pressure,dynamic
2022/10/24,0.0035,1.14,1,7,6.6,29.5,5.31
2022/10/25,0.0018,2.93,2,1.8,6.6,29.8,4.57
2022/10/26,0.0014,1.41,3,0,6.6,29.9,4.41
2022/10/27,0.0016,1.59,3,0,6.6,30.2,4.18
2022/10/28,0.0012,1.67,2,0,6.6,30.1,4.63
2022/10/29,0.0043,2.44,2,0,6.6,30.2,2.44
2022/10/30,0.0046,3.21,1,0,7.5,31.1,1.75
2022/10/31,0.0077,2.3,2,0,8.3,31.6,1.68
2022/11/1,0.001,4.14,3,0,8.3,31.6,2.7
2022/11/2,0.0011,0.47,2,0,8.3,31.7,6.27
2022/11/3,0.0012,0.36,2,0,8.3,31.8,4.65
2022/11/4,0.0029,4.22,2,0,8.3,31.9,1.11
2022/11/5,0.0024,3.21,2,0,8.3,32.1,1.34
2022/11/6,0.0021,3.49,1,0,8.3,32.2,4.94
2022/11/7,0.0026,3.03,2,0,8.3,32.3,6.48
2022/11/8,0.0014,0.8,1,0,8.3,32.3,2.92
2022/11/9,0.0031,2.76,2,0,9.1,32.4,2.99
2022/11/10,0.0025,2.32,1,0,7.5,31,4.36
2022/11/11,0.0032,1.21,1,0,8.6,32.4,5.57
2022/11/12,0.0014,0.94,3,0,9.1,32.5,6.35
2022/11/13,0.0008,0.17,3,0,9.1,32.6,5.06
2022/11/14,0.001,3.32,1,5,9.4,32.7,6.41
2022/11/15,0.0027,1.25,2,15.4,9.4,32.8,1.02
2022/11/16,0.0039,0.55,1,1,9.4,32.8,3.7
2022/11/17,0.0024,1.41,2,0,9.4,32.6,5.09
2022/11/18,0.0014,2.61,1,0,9.4,32.6,3.82
2022/11/19,0.0011,2.96,2,0,9.4,32.5,3.19
2022/11/20,0.0016,0.78,1,5,9.4,32.3,6.25
2022/11/21,0.0019,1.1,1,0,7.5,31,1.07
2022/11/22,0.0013,2.63,1,0,9.4,32.2,4.57
2022/11/23,0.003,0.52,2,0,9.4,32.1,5.82
2022/11/24,0.0031,0.83,2,0.4,7.5,31.1,3.99
2022/11/25,0.0015,3.52,2,0,7.5,31.1,6.14
2022/11/26,0.0028,2.03,2,0,7.5,31.2,4.39
2022/11/27,0.0037,0.75,1,0,7.5,31.3,6.42
2022/11/28,0.0032,4.35,3,0.8,7.5,31.4,5.87
2022/11/29,0.0015,3.9,2,0,8.3,31.4,4.92
2022/11/30,0.0025,4.14,4,0,9.4,31.8,4.97
2022/12/1,0.0045,1.54,2,0,8.6,30.3,2.2
2022/12/2,0.0073,0.18,0,0.4,9.4,30.2,3.88
2022/12/3,0.0119,3.69,2,1.8,9.1,30.2,4.77
2022/12/4,0.0022,3.25,3,0.8,9.1,30.2,3.21
2022/12/5,0.0012,3.52,1,0.2,9.1,29.9,6.55
2022/12/6,0.004,2.04,2,0,9.4,29.8,4.36
2022/12/7,0.0052,2.47,1,0,9.1,29.7,3.77
2022/12/8,0.0021,1.89,1,0,9.4,29.5,3.47
2022/12/9,0.0027,2.89,1,0,9.1,29.5,2.48
2022/12/10,0.0034,2.69,2,0,9.1,29.5,4.54
2022/12/11,0.0067,4.02,3,0,9.4,31.4,3.44
2022/12/12,0.0064,0.95,1,0,8.6,29.5,4.93
2022/12/13,0.007,2.36,2,0,8.6,29.4,3.12
2022/12/14,0.0051,3.88,1,0,8.6,29.3,4.41
2022/12/15,0.0062,2.78,1,0,9.4,29.3,1.54
2022/12/16,0.0045,3.54,2,0,8.6,29.2,1.5
2022/12/17,0.0054,2.07,2,0,9.4,29.1,3
2022/12/18,0.008,2.53,2,0,9.4,29.1,5.76
2022/12/19,0.0068,3.99,1,0,9.4,29.2,1.89
2022/12/20,0.0075,2.58,2,0,9.4,29.3,3.34
2022/12/21,0.0071,3.09,2,0,9.4,29.4,5.49
2022/12/22,0.0064,3.68,1,0.2,9.1,31.1,1.73
2022/12/23,0.0045,1.56,2,0.2,9.4,29.6,4.6
2022/12/24,0.005,0.61,2,0,9.1,30.6,5.4
2022/12/25,0.0075,2.16,1,0,8.6,30.5,1.72
2022/12/26,0.0064,2.37,2,0,8.6,30.3,6.45
2022/12/27,0.0048,2.95,3,0,8.6,30.3,3.54
2022/12/28,0.0048,1.73,2,0,9.1,30.3,3.33
2022/12/29,0.0079,4.06,2,0,8.6,30.3,1.33
2022/12/30,0.0015,4.02,1,0,1.3,15,5.45
2022/12/31,0.0043,2.2,1,3.2,1.3,16,5.75
2023/1/1,0.0069,0.62,3,3.2,2,16.5,1.81
2023/1/2,0.0059,0.21,3,2.4,2,16.6,5.68
2023/1/3,0.0042,0.68,1,0,2.8,17.9,4.98
2023/1/4,0.0068,2.02,1,0,2.8,17.8,4.14
2023/1/5,0.0056,1.62,2,0,2.8,17.3,6.11
2023/1/6,0.0042,0.27,1,0,2,16.9,3.44
2023/1/7,0.0061,1.87,2,0,2,16,3.09
2023/1/8,0.0059,1.94,2,0.4,2,15.8,2.58
2023/1/9,0.006,4.22,3,0,2,15.5,5.73
2023/1/10,0.0099,2.33,1,0,1.3,14.8,4.75
2023/1/11,0.0093,2.44,3,1.6,1.3,15.4,3
2023/1/12,0.0065,2.45,1,0.4,1.3,15.5,1.68
2023/1/13,0.0041,1.84,1,0.2,1.3,15,5.18
2023/1/14,0.0031,4.14,3,0,1.3,14.8,3.2
2023/1/15,0.0033,2.95,2,0,1.3,15.2,3.41
2023/1/16,0.0062,1.41,2,0,1.3,14.8,6.18
2023/1/17,0.0084,2.53,1,0,1.3,14.6,5.36
2023/1/18,0.0086,0.16,2,0,1.3,14.4,3.01
2023/1/19,0.0072,0.96,1,0.2,1.3,14.3,5.3
2023/1/20,0.0072,0.81,1,0,1.3,14.2,1.09
2023/1/21,0.0078,4.39,1,0,1.3,14.7,2.62
2023/1/22,0.0051,2.5,2,0,0.9,14.3,1.4
2023/1/23,0.0032,3.01,1,0,0.9,14.6,5.27
2023/1/24,0.0069,3.34,1,0,1.3,14.7,1.72
2023/1/25,0.0063,0.65,1,0,1.3,14.5,1.83
2023/1/26,0.0046,3.41,2,0,1.3,15,1.52
2023/1/27,0.0063,1.51,2,0,1.3,15.3,3.75
2023/1/28,0.006,3.6,2,0,1.3,15.8,6.17
2023/1/29,0.0049,3.43,2,0,1.3,16,5.08
2023/1/30,0.0074,1.84,2,0,1.3,14.4,1.76
2023/1/31,0.0076,2.49,1,2.6,0.9,14,3.9
2023/2/1,0.0077,2.27,3,0.6,0.9,14.1,6.34
2023/2/2,0.0061,1.5,2,0,0,13.6,3.51
2023/2/3,0.0049,3.25,1,0,1.3,14,6.32
2023/2/4,0.004,3.81,2,0.2,1.3,14.1,3.14
2023/2/5,0.003,0.91,1,0,1.3,14.3,5.57
2023/2/6,0.0037,1.47,1,0,0.9,14.9,1.6
2023/2/7,0.0044,0.44,1,0,1.3,15,6.03
2023/2/8,0.003,2.04,3,0,1.3,15.1,6.35
2023/2/9,0.0023,3.15,2,0,1.3,15.6,1.4
2023/2/10,0.0033,1.47,3,0,1.3,15.9,6.39
2023/2/11,0.002,2.47,2,0,1.3,16,2.55
2023/2/12,0.0012,0.18,1,1.2,2,16,5.3
2023/2/13,0.0023,3.49,3,0.8,2,15.9,1.71
2023/2/14,0.0034,3.84,2,0,2,15.5,1.81
2023/2/15,0.003,2.18,3,0,3.6,14.4,3.93
2023/2/16,0.0032,3.93,1,0.2,3.6,14.3,1.23
2023/2/17,0.0066,2.76,2,0.4,3.6,14.1,3.99
2023/2/18,0.0055,3.13,3,0,3.6,13.8,1.74
2023/2/19,0.004,3.15,1,0,3.6,14.1,2.03
2023/2/20,0.0055,1.41,3,1.6,1.3,14.1,5.31
2023/2/21,0.006,1.88,3,0.6,1.3,13.4,4.87
2023/2/22,0.006,2.1,1,0.2,1.3,18.9,3.54
2023/2/23,0.0051,3.77,1,0.2,0.9,18.4,3.67
2023/2/24,0.0031,0.49,2,1.2,1.3,28.98,2
2023/2/25,0.0047,0.94,2,0,0.9,26.92,3.26
2023/2/26,0.0035,3.08,1,0,0,17.85,3.38
2023/2/27,0.0043,3.05,1,0,3.6,20.76,3.34
2023/2/28,0.0061,4.16,1,0,3.6,21.39,6.38
2023/3/1,0.0065,3.88,2,0,3.6,24.21,1.63
2023/3/2,0.0065,3.58,1,0,3.6,16.31,1.55
2023/3/3,0.0042,1.2,1,15.18,3.6,19.61,1.86
2023/3/4,0.0064,2.47,1,0.14,4.7,24.24,5.94
2023/3/5,0.0079,1.5,1,0.45,3.9,20.58,4.36
,,,,,3.9,,
,,,,,4.7,,
,,,,,4.7,,
,,,,,3.9,,
,,,,,3.6,,
,,,,,3.9,,
,,,,,3.6,,
,,,,,3.6,,
,,,,,3.6,,
,,,,,3.6,,
,,,,,3.6,,
,,,,,3.6,,
,,,,,3.6,,
,,,,,3.6,,
,,,,,3.6,,
,,,,,3.6,,
